evaluations raw_y current_y raw_y_best current_y_best x0 x1
70 22.6896217112 171.8396217112 0.9243717033 150.0743717033 0.833260 1.727506
75 445.1930259488 594.3430259488 0.9243717033 150.0743717033 1.375186 2.430870
80 1.6210611837 150.7710611837 0.9243717033 150.0743717033 0.890080 2.328021
85 1747.5009576407 1896.6509576407 0.9243717033 150.0743717033 1.842610 2.850503
90 523.9202481334 673.0702481334 0.9243717033 150.0743717033 0.138746 2.343555
95 523.9202481334 673.0702481334 0.9243717033 150.0743717033 0.138746 2.343555
100 2514.9972197221 2664.1472197221 0.9243717033 150.0743717033 1.790980 1.718363
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 8380.5839592958 8529.7339592958 8380.5839592958 8529.7339592958 2.027841 -1.017841
2 5.4828604780 154.6328604780 5.4828604780 154.6328604780 -0.892091 -1.562884
5 58842.5825129199 58991.7325129199 5.4828604780 154.6328604780 4.408851 4.231672
10 1269.5626926800 1418.7126926800 5.4828604780 154.6328604780 -0.824173 2.244836
15 15831.6555918116 15980.8055918116 5.4828604780 154.6328604780 2.541002 -1.017841
20 1215.7073427505 1364.8573427505 5.4828604780 154.6328604780 -0.695306 2.244836
25 827.5248615709 976.6748615709 5.4828604780 154.6328604780 -0.695306 1.634685
30 11.4517265350 160.6017265350 5.4828604780 154.6328604780 -0.804222 -1.637821
31 1.3629706415 150.5129706415 1.3629706415 150.5129706415 -0.892091 -1.425595
35 129.1250229850 278.2750229850 1.3629706415 150.5129706415 -1.881299 -1.809923
40 26.5711964139 175.7211964139 1.3629706415 150.5129706415 -0.892091 -0.835562
45 18.3726072753 167.5226072753 1.3629706415 150.5129706415 -0.892091 -1.764579
50 5.2631907979 154.4131907979 1.3629706415 150.5129706415 -0.892091 -1.557803
55 0.7181093429 149.8681093429 0.7181093429 149.8681093429 -0.892091 -1.330883
60 15.5667482630 164.7167482630 0.7181093429 149.8681093429 -1.485059 -0.818295
65 2.6395525246 151.7895525246 0.7181093429 149.8681093429 -1.612740 -1.106169
68 0.7174668292 149.8674668292 0.7174668292 149.8674668292 -0.892091 -1.357265
70 32.5716878832 181.7216878832 0.7174668292 149.8674668292 -1.581561 -1.643670
71 0.3931407053 149.5431407053 0.3931407053 149.5431407053 -0.671962 -1.235218
75 73.9342653629 223.0842653629 0.3931407053 149.5431407053 -0.057486 -1.235218
80 70.4559334175 219.6059334175 0.3931407053 149.5431407053 -0.892091 -2.179393
85 32.4892653937 181.6392653937 0.3931407053 149.5431407053 -0.387875 -1.494500
90 4.0170303730 153.1670303730 0.3931407053 149.5431407053 -0.671962 -1.033229
95 37.5728801454 186.7228801454 0.3931407053 149.5431407053 -0.947456 -0.752753
100 37.7907936991 186.9407936991 0.3931407053 149.5431407053 -0.781816 -1.906494
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 44391.8471550438 44540.9971550438 44391.8471550438 44540.9971550438 4.169153 4.857925
2 43476.5148873443 43625.6648873443 43476.5148873443 43625.6648873443 4.052077 3.866505
4 941.4010217478 1090.5510217478 941.4010217478 1090.5510217478 1.295267 1.088641
5 11548.4254824150 11697.5754824150 941.4010217478 1090.5510217478 2.201090 -1.511365
6 306.9789699721 456.1289699721 306.9789699721 456.1289699721 0.928678 4.314288
8 14.2405377450 163.3905377450 14.2405377450 163.3905377450 -0.639637 -0.825294
10 437.7160502740 586.8660502740 14.2405377450 163.3905377450 1.077530 1.088641
14 0.3467380628 149.4967380628 0.3467380628 149.4967380628 0.517430 1.088641
15 525.8986606253 675.0486606253 0.3467380628 149.4967380628 1.779679 4.379844
20 1131.3936939240 1280.5436939240 0.3467380628 149.4967380628 0.921592 -0.825294
25 1760.9632509656 1910.1132509656 0.3467380628 149.4967380628 -0.639637 2.997869
30 39.7307854361 188.8807854361 0.3467380628 149.4967380628 -0.196450 -0.003183
35 222.7842601313 371.9342601313 0.3467380628 149.4967380628 -1.703553 0.533027
40 720.1031582164 869.2531582164 0.3467380628 149.4967380628 1.211939 1.088641
45 445.2486947634 594.3986947634 0.3467380628 149.4967380628 1.012798 0.798427
50 99.8203771197 248.9703771197 0.3467380628 149.4967380628 0.517430 0.104905
55 296.5204072209 445.6704072209 0.3467380628 149.4967380628 -0.087075 1.288439
60 1025.9249267296 1175.0749267296 0.3467380628 149.4967380628 0.967171 -0.482189
65 303.3731169302 452.5231169302 0.3467380628 149.4967380628 0.566300 -0.482189
70 0.4051478576 149.5551478576 0.3467380628 149.4967380628 0.579535 1.296808
75 49.3987934788 198.5487934788 0.3467380628 149.4967380628 0.422768 1.514805
80 93.2642728612 242.4142728612 0.3467380628 149.4967380628 0.167078 1.088641
85 756.2557240281 905.4057240281 0.3467380628 149.4967380628 1.318022 1.514805
90 57.4894999673 206.6394999673 0.3467380628 149.4967380628 0.517430 0.346312
95 322.3235591212 471.4735591212 0.3467380628 149.4967380628 -0.240216 1.088641
100 57.4894999673 206.6394999673 0.3467380628 149.4967380628 0.517430 0.346312
