evaluations raw_y current_y raw_y_best current_y_best x0 x1
5 17508.3372274875 17657.4872274875 52.6622006164 201.8122006164 2.690788 -0.567428
10 847.1802537309 996.3302537309 52.6622006164 201.8122006164 -1.604803 -3.975245
15 6067.8449903245 6216.9949903245 52.6622006164 201.8122006164 -4.656390 3.821731
20 776.7913457753 925.9413457753 52.6622006164 201.8122006164 -0.840068 1.461474
25 639.4034809093 788.5534809093 52.6622006164 201.8122006164 -0.323383 1.693257
30 8541.8888592735 8691.0388592735 52.6622006164 201.8122006164 -3.871306 -2.674701
35 29211.3494646932 29360.4994646932 52.6622006164 201.8122006164 2.690788 -4.427493
40 2531.5921185886 2680.7421185886 52.6622006164 201.8122006164 1.998282 2.925654
42 2.7061562775 151.8561562775 2.7061562775 151.8561562775 -0.718410 -1.407915
45 43378.0584202842 43527.2084202842 2.7061562775 151.8561562775 4.114828 4.535166
50 519.4513035040 668.6013035040 2.7061562775 151.8561562775 -0.840068 0.953277
55 5017.4786107726 5166.6286107726 2.7061562775 151.8561562775 -3.949332 -0.067504
60 15388.9112196984 15538.0612196984 2.7061562775 151.8561562775 -4.385927 -2.674701
65 21996.0259148940 22145.1759148940 2.7061562775 151.8561562775 2.690788 -2.166885
70 1122.5816138324 1271.7316138324 2.7061562775 151.8561562775 -1.604803 -4.415646
75 458.6692471357 607.8192471357 2.7061562775 151.8561562775 0.515371 -1.045002
80 207.4598034727 356.6098034727 2.7061562775 151.8561562775 -0.013604 -1.726218
85 909.1880963821 1058.3380963821 2.7061562775 151.8561562775 0.529904 -1.872952
90 434.9702386170 584.1202386170 2.7061562775 151.8561562775 -1.746635 1.186007
95 6343.8727302921 6493.0227302921 2.7061562775 151.8561562775 2.355810 2.302999
100 27497.6510389491 27646.8010389491 2.7061562775 151.8561562775 -4.793007 -3.975245
102 1.7748486749 150.9248486749 1.7748486749 150.9248486749 -0.814757 -1.422437
105 662.4145796771 811.5645796771 1.7748486749 150.9248486749 -3.174129 0.564287
110 3494.2628923685 3643.4128923685 1.7748486749 150.9248486749 0.924943 -3.360252
115 559.1515430521 708.3015430521 1.7748486749 150.9248486749 -0.218853 1.693257
120 2682.5726596259 2831.7226596259 1.7748486749 150.9248486749 1.828338 1.768063
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 1323.9392377105 1473.0892377105 1323.9392377105 1473.0892377105 -3.095680 -0.833114
2 129.3651398903 278.5151398903 129.3651398903 278.5151398903 1.148224 4.615282
5 19091.0807742095 19240.2307742095 129.3651398903 278.5151398903 -4.808198 -1.094676
6 117.4337285102 266.5837285102 117.4337285102 266.5837285102 -0.556291 -2.204400
7 38.6729858608 187.8229858608 38.6729858608 187.8229858608 -2.742280 0.914614
10 677.1165979733 826.2665979733 38.6729858608 187.8229858608 -0.825915 1.282776
15 3.8265521541 152.9765521541 3.8265521541 152.9765521541 -1.944346 -0.529457
20 51975.5802943410 52124.7302943410 3.8265521541 152.9765521541 4.031988 1.714192
25 682.0546532279 831.2046532279 3.8265521541 152.9765521541 -0.272636 -3.369920
30 5688.9705321995 5838.1205321995 3.8265521541 152.9765521541 2.270551 2.150882
35 59.8382579404 208.9882579404 3.8265521541 152.9765521541 -0.473125 -0.259567
40 66.7860971062 215.9360971062 3.8265521541 152.9765521541 -0.825915 -2.131814
41 3.5174310069 152.6674310069 3.5174310069 152.6674310069 -0.743581 -1.099236
45 25179.8241135202 25328.9741135202 3.5174310069 152.6674310069 2.670598 -3.355042
50 1450.8303728293 1599.9803728293 3.5174310069 152.6674310069 -2.960895 -1.537004
55 1008.4478583222 1157.5978583222 3.5174310069 152.6674310069 1.239147 0.720261
60 2593.7818472187 2742.9318472187 3.5174310069 152.6674310069 -3.196940 -1.866968
65 1460.8577304945 1610.0077304945 3.5174310069 152.6674310069 0.678657 -2.185952
70 491.3180159343 640.4680159343 3.5174310069 152.6674310069 1.404671 2.468408
73 0.9426648527 150.0926648527 0.9426648527 150.0926648527 -0.652581 -1.285236
75 10.0531784621 159.2031784621 0.9426648527 150.0926648527 -3.095680 2.702832
80 6446.5502082959 6595.7002082959 0.9426648527 150.0926648527 1.585629 -2.424184
85 417.7831705382 566.9331705382 0.9426648527 150.0926648527 0.055374 1.906519
90 585.7133844079 734.8633844079 0.9426648527 150.0926648527 -3.196940 0.816579
95 83.3463807316 232.4963807316 0.9426648527 150.0926648527 -1.046975 -0.463193
100 1861.9173649999 2011.0673649999 0.9426648527 150.0926648527 -3.693160 1.288400
105 574.5347219694 723.6847219694 0.9426648527 150.0926648527 -1.716745 1.458021
110 77.6285925311 226.7785925311 0.9426648527 150.0926648527 -2.960895 1.429095
115 18.6029581069 167.7529581069 0.9426648527 150.0926648527 -0.524692 -0.660613
120 1510.0790341089 1659.2290341089 0.9426648527 150.0926648527 -1.702897 -4.833768
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 2382.4280230449 2531.5780230449 2382.4280230449 2531.5780230449 -2.601887 -3.852922
3 29.5899057909 178.7399057909 29.5899057909 178.7399057909 -0.598115 -1.703123
5 1760.0344124681 1909.1844124681 29.5899057909 178.7399057909 2.167363 4.824730
10 1024.5442158552 1173.6942158552 29.5899057909 178.7399057909 -2.015535 -3.643398
15 1747.1518945197 1896.3018945197 29.5899057909 178.7399057909 -0.020938 3.878790
20 9300.2096493170 9449.3596493170 29.5899057909 178.7399057909 2.555480 2.025987
25 69022.7317055049 69171.8817055049 29.5899057909 178.7399057909 4.069216 -1.380104
30 27686.1638147688 27835.3138147688 29.5899057909 178.7399057909 -4.706231 -4.673432
35 111106.7892889683 111255.9392889682 29.5899057909 178.7399057909 4.607364 -2.635592
36 27.9378423553 177.0878423553 27.9378423553 177.0878423553 -2.195142 -0.554638
40 1016.0424109482 1165.1924109482 27.9378423553 177.0878423553 0.723297 -1.394340
45 851.8531891250 1001.0031891250 27.9378423553 177.0878423553 0.471697 3.878790
48 8.6906353405 157.8406353405 8.6906353405 157.8406353405 -1.074799 -1.647021
50 7217.1964676023 7366.3464676023 8.6906353405 157.8406353405 1.757038 -1.955593
55 37.9946940783 187.1446940783 8.6906353405 157.8406353405 -0.310158 -0.199842
60 1140.7059856714 1289.8559856714 8.6906353405 157.8406353405 -0.997758 2.008618
65 696.0233411179 845.1733411179 8.6906353405 157.8406353405 -0.229264 -3.326797
70 45.3685900071 194.5185900071 8.6906353405 157.8406353405 -2.068384 0.298515
75 50669.3670751379 50818.5170751379 8.6906353405 157.8406353405 3.366937 -4.322758
80 14535.3825809156 14684.5325809156 8.6906353405 157.8406353405 -3.982758 -4.850084
85 12591.0445341831 12740.1945341831 8.6906353405 157.8406353405 2.156227 -2.276340
90 3.4877285927 152.6377285927 3.4877285927 152.6377285927 -0.997758 -1.528724
95 1587.2410306724 1736.3910306724 3.4877285927 152.6377285927 -2.926059 -1.844347
100 610.3997214073 759.5497214073 3.4877285927 152.6377285927 -2.068384 -2.806669
104 1.5404542333 150.6904542333 1.5404542333 150.6904542333 -0.240344 -0.584084
105 234.5180511334 383.6680511334 1.5404542333 150.6904542333 0.610842 -0.125053
110 6398.5736246531 6547.7236246531 1.5404542333 150.6904542333 1.757038 -1.459173
112 0.1939449145 149.3439449145 0.1939449145 149.3439449145 -0.362731 -0.922809
115 2528.6236936836 2677.7736936836 0.1939449145 149.3439449145 1.139552 -1.580986
120 5789.9154113978 5939.0654113978 0.1939449145 149.3439449145 1.652384 -1.647021
